	stId
1156	R-HSA-2408550
1157	R-HSA-9020265
1158	R-HSA-176407
1159	R-HSA-8964616
1160	R-HSA-6804114
1161	R-HSA-4420332
1162	R-HSA-3560783
1163	R-HSA-8866910
1164	R-HSA-1963640
1165	R-HSA-430039
1166	R-HSA-190242
1167	R-HSA-1250347
1168	R-HSA-5655862
1169	R-HSA-5675482
1170	R-HSA-3134975
1171	R-HSA-196791
1172	R-HSA-2892247
1173	R-HSA-5083632
1174	R-HSA-196783
1175	R-HSA-1483148
1176	R-HSA-432047
1177	R-HSA-6787639
1178	R-HSA-77288
1179	R-HSA-77346
1180	R-HSA-3000471
1181	R-HSA-6798163
1182	R-HSA-5661270
1183	R-HSA-964975
1184	R-HSA-9027307
1185	R-HSA-3232118
1186	R-HSA-141405
1187	R-HSA-141430
1188	R-HSA-9603798
1189	R-HSA-111471
1190	R-HSA-450604
1191	R-HSA-1362300
1192	R-HSA-388844
1193	R-HSA-5099900
1194	R-HSA-354194
1195	R-HSA-8849471
