Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
CUSTOM140674733480768	Activation of anterior HOX genes in hindbrain development during early embryogenesis	49/91			POLR2D;SUZ12;POLR2I;H2AFX;POLR2J;RBBP5;RARG;PAXIP1;KDM6A;CTCF;POLR2L;POLR2H;EZH2;EED;PCGF2;MEIS1;RBBP4;HOXD4;KMT2D;YY1;RARA;KMT2C;EP300;POLR2B;ASH2L;CREBBP;NCOR1;RXRA;AJUBA;WDR5;HDAC3;CNOT6;PIAS2;PKNOX1;PAX6;RBBP7;POLR2C;HOXB4;MAFB;POLR2E;PAGR1;POLR2A;JUN;POLR2F;NCOA6;PBX1;POLR2G;NCOA3;POLR2K
CUSTOM140674733480768	Activation of caspases through apoptosome-mediated cleavage	6/6			APAF1;CASP9;CYCS;CASP7;CASP3;XIAP
CUSTOM140674733480768	Activation of gene expression by SREBF (SREBP)	40/43			ACACA;SCD;HELZ2;CHD9;FASN;CARM1;DHCR7;GGPS1;PMVK;HMGCR;SQLE;SP1;MVD;ACACB;MTF1;MVK;SREBF1;HMGCS1;TBL1X;SC5D;CYP51A1;NFYC;TM7SF2;MED1;CREBBP;RXRA;FDPS;NCOA2;FDFT1;NFYB;TGS1;SMARCD3;LSS;NFYA;SREBF2;IDI1;NCOA1;NCOA6;GPAM;TBL1XR1
CUSTOM140674733480768	Activation of kainate receptors upon glutamate binding	27/30			GNG5;DLG3;GNGT2;DLG1;GNG12;GNG2;GNG11;GRIK2;GRIK5;GNB5;DLG4;GNB3;GNG10;CALM1;GNG4;GNG7;GNG8;NCALD;PLCB1;PLCB3;PLCB2;GNG13;GNGT1;GNB4;GNG3;GNB1;GNB2
CUSTOM140674733480768	Activation of the AP-1 family of transcription factors	10/10			MAPK1;MAPK10;MAPK8;MAPK11;JUN;MAPK3;ATF2;MAPK9;FOS;MAPK14
CUSTOM140674733480768	Activation of the TFAP2 (AP-2) family of transcription factors	9/12			TFAP2A;WWOX;YEATS4;CITED2;TFAP2E;EP300;TFAP2C;CREBBP;TFAP2B
CUSTOM140674733480768	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	60/61			EIF3M;RPS9;RPS3A;EIF3F;RPS16;RPS13;RPS26;RPS27A;RPS5;RPS12;RPS14;RPS21;RPS7;RPS4Y2;RPS27;RPS8;EIF2S1;EIF4H;EIF3B;RPS18;EIF2S3;EIF4A2;EIF2S2;RPS2;RPS20;EIF3A;EIF3L;RPS25;EIF3D;EIF4B;EIF3J;FAU;RPS11;RPS19;RPSA;RPS28;EIF3H;RPS24;PABPC1;EIF3K;EIF3C;RPS27L;EIF3I;RPS4Y1;RPS3;EIF4A1;EIF4EBP1;RPS17;EIF1AX;RPS15A;RPS6;RPS10;RPS4X;EIF4G1;EIF3G;RPS29;RPS15;RPS23;EIF4E;EIF3E
CUSTOM140674733480768	Activation of the phototransduction cascade	3/11			GNB1;GNGT1;GNAT1
CUSTOM140674733480768	Activation of the pre-replicative complex	28/33			MCM2;ORC1;ORC6;MCM4;RPA2;PRIM2;POLA1;GMNN;CDC7;POLA2;POLE;ORC4;ORC2;CDK2;MCM6;CDC45;MCM7;PRIM1;RPA3;POLE4;ORC5;MCM3;RPA1;MCM5;MCM8;POLE2;POLE3;ORC3
CUSTOM140674733480768	Activation, myristolyation of BID and translocation to mitochondria	4/4			BID;CASP8;NMT1;GZMB
CUSTOM140674733480768	Activation, translocation and oligomerization of BAX	2/2			BID;BAX
CUSTOM140674733480768	Acyl chain remodeling of CL	6/6			LCLAT1;HADHB;PLA2G4A;TAZ;HADHA;PLA2G6
CUSTOM140674733480768	Acyl chain remodeling of DAG and TAG	3/8			DGAT1;MGLL;PNPLA2
CUSTOM140674733480768	Acyl chain remodelling of PC	17/27			PLA2G4F;PLA2G12A;PLA2G1B;LPCAT3;LPCAT2;PLA2G4E;PLA2G4C;PLA2G4A;PLA2R1;PLBD1;PLA2G5;LPCAT1;PLA2G6;LPCAT4;PNPLA8;MBOAT2;PLA2G2A
CUSTOM140674733480768	Acyl chain remodelling of PE	17/29			ABHD4;PLA2G4F;PLA2G12A;PLA2G1B;LPCAT3;PLA2G4E;PLA2G6;PLA2G4C;PLA2G4A;PLA2R1;PLBD1;PLA2G5;LPCAT4;MBOAT1;PNPLA8;MBOAT2;PLA2G2A
CUSTOM140674733480768	Acyl chain remodelling of PG	11/18			PLA2G4F;PLA2G12A;PLA2G1B;PLA2G4A;PLA2R1;LPGAT1;LPCAT1;PLA2G5;CRLS1;LPCAT4;PLA2G2A
CUSTOM140674733480768	Acyl chain remodelling of PI	11/17			PLA2G4F;PLA2G12A;PLA2G1B;PLA2G4E;PLA2G4C;PLA2G4A;PLA2R1;PLBD1;PLA2G5;MBOAT7;PLA2G2A
CUSTOM140674733480768	Acyl chain remodelling of PS	15/22			OSBPL8;MBOAT1;PLA2G4F;PLA2G12A;PLA2G1B;LPCAT3;PLA2G4E;PLA2G4A;PLA2R1;PLA2G5;LPCAT4;OSBPL10;OSBPL5;PLA1A;PLA2G2A
CUSTOM140674733480768	Adaptive Immune System	605/828			CUL2;LRR1;KLHL9;RAP1GAP2;BTN3A3;PSMB4;CTSO;DCTN5;HLA-DOA;ARF1;UBAC1;PIK3AP1;FBXO22;NFATC2;REL;FBXL4;KCTD7;MLST8;SEC24C;SEC22B;MAPKAP1;ITCH;ANAPC2;RASGRP2;AP1S1;PPL;HLA-B;LRRC41;PRKCQ;PSME1;SIGLEC9;RNF126;OSBPL1A;LNPEP;RNF14;TLR2;SPTBN2;FBXL20;UBE2D2;HLA-DQA2;CDC16;HERC1;TRIM41;NEDD4L;PSMD10;ANAPC13;KBTBD7;MEX3C;IKBKB;PVR;SELL;TAP1;TRAF6;BTK;UBE2Z;PSMD3;FBXL15;RASGRP3;CD79A;PSMD7;ITPR3;AP1B1;PIK3R2;PSMC5;CLEC2B;TRIM39;CD3G;DNM3;CALR;KBTBD13;LTN1;UBE2G2;ICAM5;DZIP3;HLA-DRA;UBE2K;TPP2;UBE3C;CD33;PSMA4;HLA-DRB3;PSMA7;CD274;CUL3;KIF11;UBE2C;PPIA;PPP2R1B;LILRB4;DTX3L;KIF18A;DCTN2;PJA2;AP1S2;WAS;PSMD4;KIF5B;CD300A;CD3E;VHL;FBXO21;TRIM9;PSMC2;MAP3K8;SIGLEC10;UBE2O;CTSH;ATG7;SOS1;SIGLEC1;HLA-F;DYNC1I1;AKT1;ICAM1;EVL;MTOR;ULBP3;KIR3DL2;NCK1;NFKBIB;KLHL42;PPP2R5A;FBXL16;ARIH2;DYNLL1;KIF3A;FBXO2;SH3RF1;PTPN11;PSMD6;MAP3K7;CDH1;UBE3B;AP1M2;KLHL3;PTEN;SEC31A;NRAS;BLNK;PIANP;YES1;XDH;PSMC4;PTPN6;ICOS;JAML;KIF3B;UBE2R2;DCTN6;HLA-A;ZAP70;PSMB7;TRIM63;CD300LF;BLMH;FCGR2B;UBE2N;PSMB9;SLAMF7;PSMA5;ITGB7;ERAP1;NFKBIA;CD207;PSMB10;KEAP1;CUL5;CTSD;HLA-DRB4;THOP1;RBCK1;UBE2V1;WWP1;PPP3CB;CAPZA1;HLA-DQB1;DCTN4;UBE3D;LILRA2;RNF4;PSMB6;PSMB5;HLA-E;LY96;ACTR1A;TRIM21;CTSE;PSMB2;FBXO44;SEC61A1;AHCYL1;RNF41;CD81;CAPZA2;SNAP23;ASB8;HLA-DMA;DET1;TRIM37;AP2A1;FBXL19;RAP1B;RELA;B2M;AKT3;NFATC3;UBOX5;STUB1;PRKCB;DYNC1LI1;ANAPC11;KIF5A;CDC42;PSMB8;PRKACG;CD28;RNF115;LILRB2;FBXO41;NECTIN2;STX4;SIPA1;FBXW2;FBXO11;RAP1A;BTNL9;PIK3CB;HACE1;FBXO17;ORAI1;FCGR3A;KLHL5;CUL7;RPS27A;SEC13;CXADR;ANAPC5;KBTBD6;UBA3;UBE4A;PRKACA;RNF34;HLA-DPA1;PSMA1;CSK;UBE3A;ELOC;FBXO31;MRC2;ENAH;KIF20A;IFI30;BTBD1;THEM4;AP2S1;KCTD6;PPP2R5D;BTRC;GRB2;SKP1;AP2A2;ICAM3;TRIP12;SIAH1;KIF15;MKRN1;FBXL3;PAK2;PTPRC;SEC61B;UBE2D4;RCHY1;FBXW10;FBXL8;TRIM4;CDC26;UBE2H;UBE2V2;RNF25;PIK3CD;AP1S3;NPEPPS;NCF2;CTSS;RNF7;RILP;TREM1;UBE2W;PSMD9;VAMP8;CD19;FBXW4;KIF2A;PPP2CB;CD200R1;KLC1;PAK1;MALT1;PPP3CA;TREM2;GAN;KIF23;HECTD3;CHUK;RAP1GAP;CDC27;HERC4;NCF1;FBXO4;FBXL18;YWHAZ;TRAT1;LRSAM1;NFATC1;UBE2F;ANAPC7;ACTR1B;HECTD1;SMURF1;DYNLL2;PIK3CA;UBE2D3;YWHAB;ITGB5;FBXO10;STIM1;DYNC1H1;KLHL25;UBE2G1;TRAF7;RBBP6;PSMB11;CBLB;FBXW5;HLA-DPB1;AP2B1;BTN3A2;RNF6;CD40;CTSL;UBA52;CARD11;DCTN1;PSMA8;PSMA3;TRIM32;KLC3;UBE2D1;KLHL22;CTSK;FKBP1A;SEC24B;ZNRF1;HECW2;FBXL7;INPP5D;UBE2Q1;CD247;ICAM2;KLHL41;UBR1;ASB9;SH2D1B;VAMP3;UBA7;RNF114;CD74;CD14;PSME2;TAPBP;FBXO30;SIAH2;UBB;FBXL14;FYN;SAR1B;SEC24D;ZNRF2;UBA1;KLC2;NEDD4;BTN2A1;LYN;CD300LG;BTN3A1;NFKBIE;CTSB;UBE2E3;RBX1;SEC24A;CD34;CLTC;TRIM36;ITGB1;HLA-DQA1;NCF4;ACTR10;LCK;SIGLEC7;HERC3;CD209;PTPN22;PRR5;PRKACB;ASB1;AP2M1;KIF5C;HLA-DRB1;SH3KBP1;CDC34;CENPE;FBXW8;LAIR1;SH2D1A;IKBKG;DCTN3;RNF213;CLEC4G;CD3D;CD101;PIK3R1;PSMC1;UBR4;CDC20;LILRB1;KIF4A;CYBA;UBE2B;UFL1;LILRA3;LMO7;PPP2R5B;RASGRP1;UBE2M;SRC;OSCAR;ERAP2;PPP2R1A;WSB1;CLTA;KLC4;HSPA5;KIF2C;RAF1;SKP2;CANX;FBXW9;ITPR1;UBE2Q2;DNM1;PSMD11;UBE2A;PJA1;UBE2J1;KIF22;HLA-DRB5;UBR2;KRAS;AP1G1;CD1A;PSMC6;CD36;VASP;UBA5;BLK;DYNC1LI2;RICTOR;HERC2;ELOB;FBXO6;LGMN;LILRB3;C3;CTSV;TNFRSF14;CTSC;DAPP1;RIPK2;SYK;GLMN;ASB6;AP1M1;PTPRJ;ITGAL;CD200;TLR1;RACGAP1;UBE2E2;DNM2;PPP3R1;TRIM11;UBE2J2;ZBTB16;PSMD12;KIFAP3;SEC61A2;SLAMF6;PLCG1;HLA-DMB;PPP2R5E;PSMB3;LNX1;NPDC1;FBXL12;VCAM1;PSMC3;FCGR1A;PSMA2;PILRA;PSMD14;HLA-C;CD99;PDIA3;ITGAV;RAC1;HERC6;CTSF;RAPGEF3;ANAPC4;PPP2R5C;UBA6;HLA-DOB;UBE2E1;PRKG1;CUL1;KLHL13;HUWE1;CTSA;UBE2S;CYBB;UBE2L6;UNKL;FZR1;ICOSLG;ITGB2;CDC23;ANAPC1;PSMD5;LCP2;CD86;PSMD1;TRPC1;AKT2;HRAS;MRC1;RNF19B;KLHL2;LILRB5;RNF220;KIF3C;PSMF1;DYNC1I2;PSME3;BCL10;RNF123;ASB13;PSMD13;RNF138;VAV1;HLA-G;IFITM1;ANAPC10;PSMD8;SEC61G;CD4;TAP2;ITPR2;RAPGEF4;SIGLEC5;KLHL11;PLCG2;FBXO27;PDPK1;FBXO9;ITGA4;SEC23A;TREML1;FBXW11;MGRN1;CALM1;PSMA6;KLHL20;TAB2;PAG1;CD8A;UBE2L3;PAK3;HERC5;RAB7A;FBXO7;PSME4;RLIM;PSMB1;SMURF2;GRAP2;MYD88;CAPZB;PSMD2;SH3GL2;MIB2;TYROBP;RNF130;COLEC12;NFKB1;PPP2CA
CUSTOM140674733480768	Adenosine P1 receptors	1/4			ADORA1
CUSTOM140674733480768	Adenylate cyclase activating pathway	9/10			ADCY8;ADCY3;ADCY6;ADCY9;ADCY2;ADCY1;GNAL;ADCY5;ADCY7
CUSTOM140674733480768	Adenylate cyclase inhibitory pathway	12/14			ADCY8;ADCY3;ADCY7;GNAI1;ADCY6;ADCY9;GNAI2;ADCY1;GNAL;ADCY2;ADCY5;GNAI3
CUSTOM140674733480768	Adherens junctions interactions	27/31			NECTIN4;CDH2;CTNNA1;CTNNB1;CDH11;CDH1;PVR;CDH8;CDH9;CDH18;CADM3;ANG;CDH17;CTNND1;AFDN;CADM2;CADM1;CDH13;NECTIN1;CDH4;CDH10;CDH6;NECTIN2;CDH3;NECTIN3;CDH5;JUP
CUSTOM140674733480768	Adrenaline signalling through Alpha-2 adrenergic receptor	1/3			ADRA2A
CUSTOM140674733480768	Adrenaline,noradrenaline inhibits insulin secretion	25/28			GNG5;GNAI1;GNGT2;GNG12;GNG2;GNG11;GNB5;GNB3;GNG10;GNG4;ADCY6;GNG7;GNG8;CACNB3;CACNA2D2;GNAI2;GNG13;ADRA2A;GNGT1;GNB4;GNG3;GNB1;CACNB2;GNB2;ADCY5
CUSTOM140674733480768	Adrenoceptors	1/9			ADRA2A
CUSTOM140674733480768	Advanced glycosylation endproduct receptor signaling	13/13			MAPK1;S100B;CAPZA2;CAPZA1;HMGB1;LGALS3;DDOST;MAPK3;AGER;S100A12;APP;PRKCSH;SAA1
CUSTOM140674733480768	Aflatoxin activation and detoxification	14/20			GGT5;GGT6;MGST1;ACY1;AKR7A2;AKR7A3;GGT7;GGT1;ACY3;DPEP1;DPEP2;CYP3A5;MGST2;MGST3
CUSTOM140674733480768	Aggrephagy	21/24			UBE2N;DYNLL1;RPS27A;PCNT;HSF1;ARL13B;CFTR;DYNLL2;DYNC1H1;PARK7;DYNC1LI2;DYNC1LI1;UBE2V1;UBB;HSP90AA1;HDAC6;UBA52;DYNC1I1;DYNC1I2;VCP;IFT88
CUSTOM140674733480768	Agmatine biosynthesis	2/2			AGMAT;AZIN2
CUSTOM140674733480768	Alanine metabolism	2/2			GPT2;GPT
CUSTOM140674733480768	Alpha-defensins	7/10			DEFA6;CD4;DEFA3;DEFA4;PRSS2;DEFA5;PRSS3
CUSTOM140674733480768	Alpha-oxidation of phytanate	6/6			HACL1;PECR;PHYH;SLC25A17;ALDH3A2;SLC27A2
CUSTOM140674733480768	Alpha-protein kinase 1 signaling pathway	10/11			ALPK1;RPS27A;TRAF6;TIFA;TAB2;UBB;TAB1;TAB3;MAP3K7;UBA52
CUSTOM140674733480768	Alternative complement activation	4/4			C3;CFD;CFB;GZMM
CUSTOM140674733480768	Amine Oxidase reactions	3/4			MAOB;PAOX;MAOA
CUSTOM140674733480768	Amine ligand-binding receptors	6/43			CHRM1;CHRM4;CHRM3;GPR143;HTR2A;ADRA2A
CUSTOM140674733480768	Amino Acid conjugation	7/9			GLYATL2;GLYAT;ACSM2B;ACSM4;ACSM2A;ACSM5;GLYATL1
CUSTOM140674733480768	Amino acid transport across the plasma membrane	27/33			SLC16A10;SLC7A8;SLC6A20;SLC43A2;SLC7A7;SLC3A1;SLC25A29;SLC1A4;SLC7A11;SLC1A5;SLC7A6;SLC38A3;SLC7A9;SLC7A5;SLC36A2;SLC6A6;SLC38A5;SLC3A2;SLC38A2;SLC7A1;SLC6A19;SLC7A10;SLC7A2;SLC6A12;SLC6A14;SLC6A15;SLC38A1
CUSTOM140674733480768	Amino acids regulate mTORC1	50/55			ATP6V1F;ATP6V1D;ITFG2;SESN2;RRAGD;LAMTOR5;SEC13;RPTOR;MIOS;LAMTOR3;RHEB;ATP6V0D1;SLC38A9;ATP6V1C2;RRAGA;KPTN;ATP6V1E1;ATP6V1G2;NPRL3;SESN1;WDR24;SEH1L;WDR59;SH3BP4;LAMTOR1;TCIRG1;LAMTOR4;ATP6V1G1;RRAGC;ATP6V1C1;SZT2;ATP6V0D2;MLST8;LAMTOR2;ATP6V1B2;ATP6V1H;ATP6V0C;ATP6V1G3;DEPDC5;FLCN;C12orf66;FNIP1;RRAGB;ATP6V1E2;NPRL2;ATP6V1B1;FNIP2;BMT2;MTOR;ATP6V1A
CUSTOM140674733480768	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	89/94			CDCA8;SGO1;CKAP5;RANGAP1;DYNLL2;KNTC1;CENPI;ZWILCH;CENPC;BUB1B;DYNC1H1;CENPQ;CENPP;AURKB;DYNC1LI2;SPDL1;SPC25;PMF1;NDC80;MAD1L1;SPC24;CENPN;CLIP1;NDEL1;CENPK;CENPH;RPS27;PPP2R5E;NUP37;MAD2L1;NUP133;SGO2;AHCTF1;DYNC1LI1;CLASP2;BUB3;PLK1;PPP2R5C;KNL1;SEC13;PPP1CC;CENPF;BIRC5;PPP2R1B;MIS12;KIF18A;B9D2;SEH1L;NDE1;SKA2;NUP85;PPP2R5D;RCC2;CENPL;NSL1;NUP107;CENPM;CENPE;DSN1;ZWINT;ZW10;DYNC1I1;DYNC1I2;MAPRE1;PPP2R5A;CLASP1;DYNLL1;NUP43;INCENP;CDC20;SKA1;TAOK1;RANBP2;PPP2R5B;CENPO;XPO1;NUDC;PPP2R1A;CENPU;BUB1;KIF2A;PAFAH1B1;ERCC6L;PPP2CB;KIF2C;NUF2;NUP98;NUP160;PPP2CA
CUSTOM140674733480768	Amplification of signal from the kinetochores	89/94			CDCA8;SGO1;CKAP5;RANGAP1;DYNLL2;KNTC1;CENPI;ZWILCH;CENPC;BUB1B;DYNC1H1;CENPQ;CENPP;AURKB;DYNC1LI2;SPDL1;SPC25;PMF1;NDC80;MAD1L1;SPC24;CENPN;CLIP1;NDEL1;CENPK;CENPH;RPS27;PPP2R5E;NUP37;MAD2L1;NUP133;SGO2;AHCTF1;DYNC1LI1;CLASP2;BUB3;PLK1;PPP2R5C;KNL1;SEC13;PPP1CC;CENPF;BIRC5;PPP2R1B;MIS12;KIF18A;B9D2;SEH1L;NDE1;SKA2;NUP85;PPP2R5D;RCC2;CENPL;NSL1;NUP107;CENPM;CENPE;DSN1;ZWINT;ZW10;DYNC1I1;DYNC1I2;MAPRE1;PPP2R5A;CLASP1;DYNLL1;NUP43;INCENP;CDC20;SKA1;TAOK1;RANBP2;PPP2R5B;CENPO;XPO1;NUDC;PPP2R1A;CENPU;BUB1;KIF2A;PAFAH1B1;ERCC6L;PPP2CB;KIF2C;NUF2;NUP98;NUP160;PPP2CA
CUSTOM140674733480768	Amyloid fiber formation	42/79			TTR;NAT8;RPS27A;H2AFX;ADAM10;FURIN;USP9X;APOA1;B2M;UBE2L6;APP;PRL;SNCAIP;FGA;CALB1;GGA3;CST3;ITM2B;SORL1;SNCA;TSPAN15;TSPAN33;SIAH2;TSPAN5;APOA4;NCSTN;UBB;MFGE8;HSPG2;BACE1;UBA52;GGA2;GGA1;SIAH1;GSN;LTF;APCS;TGFBI;SAA1;APH1A;TSPAN14;LYZ
CUSTOM140674733480768	Anchoring fibril formation	5/7			LAMB3;LAMA3;BMP1;LAMC2;COL7A1
CUSTOM140674733480768	Anchoring of the basal body to the plasma membrane	90/97			YWHAG;CKAP5;CEP152;CEP57;CEP290;CDK1;TMEM67;CEP97;CEP89;DYNC1H1;CEP70;CCP110;NPHP1;CEP162;CSNK1D;TCTN3;KIF24;TUBB;DCTN1;B9D1;HAUS5;ACTR1A;RAB8A;CEP250;TCTN2;CEP63;RPGRIP1L;NEDD1;CEP131;CENPJ;HAUS3;TUBB4B;RAB11A;HAUS1;TUBB4A;AKAP9;TTBK2;YWHAE;PCM1;SFI1;HAUS7;PLK1;HAUS6;SSNA1;SDCCAG8;CC2D2A;RAB3IP;OFD1;ALMS1;TUBA1A;C2CD3;CEP78;PRKACA;CEP192;B9D2;HAUS4;DCTN2;NDE1;FBF1;CNTRL;HSP90AA1;IQCB1;DYNC1I2;MAPRE1;DCTN3;SCLT1;CLASP1;CEP83;NPHP4;DYNLL1;HAUS8;PCNT;CEP41;CEP76;TUBA4A;FGFR1OP;TUBG1;NINL;TCTN1;CDK5RAP2;PPP2R1A;PAFAH1B1;ODF2;CEP164;HAUS2;CETN2;PRKAR2B;MARK4;MKS1;CEP135
CUSTOM140674733480768	Androgen biosynthesis	5/11			CYP17A1;HSD3B1;POMC;SRD5A3;HSD17B12
CUSTOM140674733480768	Antagonism of Activin by Follistatin	3/4			INHBA;FSTL3;FST
CUSTOM140674733480768	Anti-inflammatory response favouring Leishmania parasite infection	85/250			PRKAR1A;FURIN;GNG2;PRKAR1B;GNG10;ADCY6;DPEP1;GNG7;GCG;MYH9;RAMP2;GNG13;CREB1;GNGT1;ADCY8;GNB1;SYK;ADCY9;GNB2;PTGDR;ADCY2;GNG5;AHCYL1;FGR;GNGT2;POMC;ADCY1;CD247;GNG12;PLCG1;GNB5;PRKAR2A;ADCY3;GNG8;PTHLH;VIP;FCGR1A;FYN;ITPR3;PRKACG;FCGR2A;ADCYAP1;GNG3;CD3G;PTH1R;LYN;RAMP1;FCGR3A;GGT1;DPEP2;PRKACA;HCK;VIPR1;FSHR;MAPK14;PRKACB;GNAI2;ADM;GPR84;ADCY7;RAMP3;CD163;GNAI3;GNAI1;ITPR2;GNG11;PLCG2;GGT5;GNB3;CALM1;GNG4;ADAM17;YES1;GPR39;SRC;PRKX;RHBDF2;GNAS;GNAZ;CRH;GNB4;CALCRL;PRKAR2B;ITPR1;ADCY5
CUSTOM140674733480768	Antigen Presentation: Folding, assembly and peptide loading of class I MHC	24/25			SEC13;TAP2;SEC24A;ERAP1;SEC23A;B2M;TAP1;SEC31A;TAPBP;SEC24C;ERAP2;HLA-B;HSPA5;HLA-C;SAR1B;PDIA3;HLA-A;HLA-F;SEC24D;CANX;CALR;HLA-E;SEC24B;HLA-G
CUSTOM140674733480768	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	27/95			ORAI1;AHCYL1;PIK3R1;ITPR2;PIK3CD;PLCG2;CALM1;PIK3AP1;STIM1;BLNK;BTK;BLK;ITPR1;PTPN6;GRB2;CD19;TRPC1;SH3KBP1;CD79A;FYN;ITPR3;SOS1;DAPP1;SYK;VAV1;LYN;NCK1
CUSTOM140674733480768	Antigen processing-Cross presentation	93/102			PSMB9;PSMD11;PSMA5;PSMB4;CD207;PSMB10;ITGB5;PSMC6;CD36;PSMB11;SEC22B;CTSV;HLA-B;CTSL;UBA52;PSME1;PSMA8;PSMA3;LNPEP;PSMB6;TLR2;PSMB5;HLA-E;TLR1;LY96;PSMB2;SEC61A1;PSMD12;SNAP23;SEC61A2;PSMD10;PSMB3;B2M;IKBKB;TAP1;VAMP3;CD14;BTK;PSMC3;PSME2;TAPBP;FCGR1A;PSMA2;PSMD14;PSMD3;UBB;PSMD7;PSMB8;HLA-C;PDIA3;PSMC5;ITGAV;STX4;CALR;RPS27A;PSMA4;PSMA7;PSMA1;MRC2;NCF4;CYBB;PSMD4;PSMD5;PSMD1;PSMC2;MRC1;HLA-F;PSMF1;IKBKG;SEC61B;PSME3;PSMD13;HLA-G;PSMD8;SEC61G;PSMC1;TAP2;PSMD6;CYBA;PSMA6;NCF2;CTSS;PSMD9;PSMC4;VAMP8;PSME4;PSMB1;MYD88;HLA-A;PSMD2;CHUK;PSMB7;NCF1
CUSTOM140674733480768	Antigen processing: Ubiquitination & Proteasome degradation	259/309			UBE2N;PSMB9;CUL2;PSMD11;LRSAM1;LRR1;KLHL9;PSMA5;UBE2F;ANAPC7;UBE2A;PJA1;UBE2J1;PSMB4;HECTD1;PSMD12;SMURF1;PSMB10;UBR2;UBE2D3;KEAP1;UBAC1;PSMC6;FBXO10;FBXO22;CUL5;KLHL25;UBE2G1;UBA5;FBXL4;TRAF7;KCTD7;THOP1;RBBP6;PSMB11;HERC2;CBLB;RBCK1;FBXW5;ELOB;FBXO6;ITCH;ANAPC2;UBE2V1;WWP1;RNF6;LRRC41;UBE3D;PSME1;UBA52;RNF126;PSMA8;PSMA3;LNPEP;RNF4;TRIM32;PSMB6;RNF14;GLMN;UBE2D1;KLHL22;ASB6;PSMB5;TRIM21;PSMB2;FBXL20;UBE2D2;FBXO44;ZNRF1;RNF41;HECW2;UBE2E2;CDC16;TRIM11;UBE2J2;FBXL7;ZBTB16;HERC1;TRIM41;ASB8;UBE2Q1;DET1;NEDD4L;PSMD10;TRIM37;FBXL19;KLHL41;UBR1;PSMB3;ASB9;ANAPC13;KBTBD7;MEX3C;LNX1;UBOX5;UBA7;RNF114;FBXL12;PSME2;PSMC3;STUB1;FBXO30;FBXW9;PSMA2;UBE2Z;ANAPC11;PSMD3;SIAH2;PSMD14;FBXL15;UBB;FBXL14;PSMD7;PSMB8;RNF115;PSMC5;ZNRF2;UBA1;FBXO41;NEDD4;TRIM39;HERC6;FBXW2;FBXO11;ANAPC4;KBTBD13;LTN1;HACE1;UBE2G2;DZIP3;FBXO17;UBE2K;UBE3C;TPP2;KLHL5;UBE2E3;CUL7;RPS27A;UBA6;RBX1;PSMA4;ANAPC5;UBE2E1;KBTBD6;PSMA7;UBA3;UBE4A;CUL1;RNF34;KLHL13;HUWE1;PSMA1;CUL3;UBE2C;UBE3A;ELOC;TRIM36;FBXO31;UBE2S;DTX3L;UBE2L6;UNKL;PJA2;FZR1;HERC3;BTBD1;CDC23;ANAPC1;PSMD4;KCTD6;PSMD5;BTRC;SKP1;PSMD1;ASB1;VHL;FBXO21;TRIM9;PSMC2;TRIP12;CDC34;RNF19B;KLHL2;UBE2O;ATG7;SIAH1;FBXW8;RNF220;MKRN1;FBXL3;PSMF1;PSME3;UBE2D4;RNF213;RNF123;ASB13;PSMD13;RNF138;RCHY1;KLHL42;FBXL16;FBXW10;ARIH2;FBXL8;TRIM4;ANAPC10;CDC26;PSMD8;FBXO2;PSMC1;SH3RF1;UBR4;UBE2H;CDC20;UBE2V2;RNF25;PSMD6;KLHL11;FBXO27;FBXO9;UBE3B;UBE2B;UFL1;NPEPPS;FBXW11;MGRN1;PSMA6;KLHL3;KLHL20;LMO7;RNF7;UBE2M;UBE2W;PSMD9;UBE2L3;PSMC4;HERC5;FBXW4;WSB1;FBXO7;UBE2R2;PSME4;RLIM;PSMB1;SMURF2;GAN;HECTD3;PSMD2;PSMB7;TRIM63;MIB2;SKP2;CDC27;RNF130;BLMH;HERC4;FBXO4;FBXL18;UBE2Q2
CUSTOM140674733480768	Antimicrobial peptides	47/95			ATOX1;CAMP;RNASE7;CD4;S100A8;DEFB1;CCR6;BPI;PDZD11;PGLYRP2;BPIFB6;DCD;GNLY;PGLYRP1;BPIFB1;LEAP2;DEFA5;PRSS3;SLC11A1;RNASE6;CHGA;DEFA4;PI3;BPIFA1;LCN2;BPIFB2;CLU;PRSS2;S100A7;PLA2G2A;ELANE;ATP7A;ITLN1;DEFB103A;CTSG;DEFA6;LTF;RNASE3;S100A7A;PRTN3;PGLYRP3;DEFA3;TLR2;DEFB112;S100A9;TLR1;LYZ
